u,v,length
9706
42421728,42435337,85.345
42421728,42421731,138.03300000000002
42421728,42432736,86.27499999999999
42421731,42437916,86.149
42421731,42432737,85.96799999999999
42421731,42421728,138.033
42421731,42421737,134.77100000000002
42421737,42421731,134.77100000000002
42421737,42437917,85.99
42421737,42421741,271.351
42421741,42432756,86.24000000000001
42421741,1061531654,199.79500000000002
42421741,42421737,271.351
42421745,1061531654,22.088
42421745,42421749,55.92400000000001
42421745,11803957852,93.53800000000001
42421749,42421751,142.26
42421749,42421745,55.924
42421749,42431118,85.52099999999999
42421751,42421749,142.26000000000002
42421751,42432764,85.181
42421769,42443347,86.01
42421772,42421769,271.70200000000006
42421772,42442469,81.618
42421775,11655721345,19.292
42421775,42428653,86.20899999999999
42421776,42421775,105.43299999999999
42421776,42431024,80.922
42421776,42431019,86.554
42421778,42421776,127.99200000000002
42421778,42422592,87.48
42421778,42441587,82.185
42421783,42443522,267.007
42421783,42427782,249.00000000000003
42421783,42429174,153.183
42421783,8904913030,29.605999999999998
42421785,42421786,239.745
42421785,42443520,201.183
42421786,42421791,127.58999999999999
42421791,4814440062,215.27400000000003
42421791,42448930,90.62
42421800,42435308,80.571
42421800,42424851,80.763
42421803,42437300,80.824
42421803,42421800,273.333
42421806,42421803,271.734
42421806,42442475,81.107
42421809,11655721355,17.095
42421809,42428663,80.173
42421810,42421809,109.34
42421810,42431030,80.698
42421810,42431034,80.27499999999999
42421820,42421810,215.285
42421820,42437312,89.457
42421820,42441569,88.052
42421828,42430942,101.45
42421828,42430938,126.92099999999999
42421852,561035342,261.715
42421852,42442584,96.327
42421852,42438928,171.363
42421857,42421865,85.266
42421857,561035342,22.314999999999998
42421857,1506591534,246.775
42421865,42421857,85.26599999999999
42421865,42443181,171.551
42421865,1332860731,244.92499999999998
42421877,42421889,311.336
42421877,42437949,76.599
42421889,42432191,41.444
42421889,42430241,81.11999999999999
42421941,42421960,27.203
42421941,42453902,150.43299999999996
42421946,42421941,55.69299999999999
42421951,42421946,78.949
42421951,42444223,77.97200000000001
42421951,42421965,23.061
42421960,42427956,66.408
42421960,42431898,253.81300000000002
42421960,42421965,129.856
42421960,42421941,27.203
42421965,4145794861,162.38
42421969,5706568625,79.923
42421972,1061531777,21.559
42421972,42428570,93.688
42421974,42421972,156.643
42421974,1241742627,79.99000000000001
42421982,7050687060,78.78399999999999
42421982,2974462027,80.34700000000001
42421985,42421982,275.731
42421985,3533937800,99.10000000000001
42421985,42430981,79.614
42421985,2061592973,79.185
42421993,42421996,274.107
42421993,42431447,81.183
42421993,7106818627,79.736
42421996,42422000,271.01500000000004
42421996,42438043,80.0
42422000,1061531768,130.452
42422000,42437052,79.952
42422006,42422016,127.523
42422006,42428682,79.18199999999999
42422016,42422018,213.47699999999998
42422016,42431044,79.78099999999999
