osmid,x,y
42421728,-73.9600437,40.7980478
42421731,-73.9614745,40.7986542
42421737,-73.9628734,40.7992437
42421741,-73.9656909,40.8004295
42421745,-73.9679955,40.8013981
42421749,-73.9685741,40.8016452
42421751,-73.9700504,40.8022679
42421769,-73.9750067,40.7826383
42421772,-73.9778254,40.783828
42421775,-73.9795827,40.7845691
42421776,-73.9806732,40.7850352
42421778,-73.9820041,40.7855915
42421783,-73.9313239,40.8593291
42421785,-73.930122,40.858744
42421786,-73.927625,40.859012
42421791,-73.926786,40.859944
42421800,-73.9703125,40.7839869
42421803,-73.9731496,40.7851818
42421806,-73.9759753,40.7863627
42421809,-73.9776916,40.7870876
42421810,-73.9788225,40.7875711
42421820,-73.9810702,40.788486
42421828,-73.976212,40.725326
42421852,-73.9568234,40.8126219
42421857,-73.9598,40.8138218
42421865,-73.9606929,40.814184
42421877,-73.9959291,40.7328569
42421889,-73.9991816,40.7341463
42421941,-74.0087265,40.7042693
42421946,-74.008386,40.7038639
42421951,-74.0077746,40.7033264
42421960,-74.0089696,40.7041084
42421965,-74.0079952,40.7032048
42421969,-73.9810586,40.7692956
42421972,-73.982236,40.7697925
42421974,-73.9838597,40.7704797
42421982,-73.986677,40.7716605
42421985,-73.9895402,40.7728633
42421993,-73.9679404,40.787235
42421996,-73.9707862,40.7884325
42422000,-73.9736025,40.7896131
42422006,-73.9751294,40.7902583
42422016,-73.9764487,40.7908218
42422018,-73.978619,40.7917878
42422026,-74.0157844,40.7115841
42422028,-74.0143969,40.7110047
42422038,-74.0116583,40.7096669
42422042,-74.0105706,40.7091731
42422050,-74.0093797,40.7086249
42422053,-74.0082757,40.7077288
42422086,-73.9333873,40.8016439
42422110,-73.9337706,40.8021471
42422168,-73.9328935,40.8021545
42422258,-74.00742,40.748197
42422270,-74.0027542,40.7062566
42422283,-74.001657,40.7094916
42422399,-73.9827522,40.7879993
42422449,-73.9311515,40.8007075
42422509,-73.9736517,40.7381466
42422592,-73.9826519,40.7849764
42422899,-73.9721236,40.7456883
42423020,-73.9749393,40.7460796
42423039,-73.9757407,40.7163982
42423051,-73.9748036,40.718847
42423070,-73.9853322,40.7835314
42423101,-73.9337078,40.8442415
42423116,-73.932313,40.846152
42423170,-73.9326159,40.8026802
42423189,-73.9329255,40.8033683
42423203,-73.9334099,40.802694
42423295,-73.9775923,40.7132542
42423296,-73.9777769,40.7124667
42423307,-73.9814926,40.71075
42423456,-74.006113,40.7237914
42423514,-74.007029,40.724504
42423549,-73.9747151,40.721087
42423564,-73.9645095,40.7589831
42423565,-73.9640002,40.7596426
42423579,-73.960551,40.7595738
42423674,-73.979076,40.766876
42423752,-73.9619964,40.7620775
42423774,-73.9738156,40.738339
42423832,-73.998505,40.7587817
42423836,-73.9969538,40.7593876
42423847,-73.9992001,40.7588687
42423885,-73.9968456,40.7577433
42424025,-73.9437833,40.7828748
42424032,-73.9856862,40.780311
42424089,-73.9643559,40.7606212
42424117,-73.9318124,40.7944866
42424133,-73.9322765,40.793757
42424142,-73.9484005,40.769641
42424145,-73.9491341,40.7687032
42424218,-73.9950304,40.7693848
42424225,-73.9735934,40.7794865
42424235,-73.9344659,40.8171783
42424258,-74.0067668,40.7217241
42424334,-74.0079995,40.7211998
42424347,-74.0078146,40.7209099
42424354,-74.0075453,40.7208183
42424408,-74.0082309,40.7219848
42424439,-73.964694,40.7916758
42424531,-73.9352393,40.8295918
42424551,-73.9355839,40.8305218
42424576,-73.9363638,40.8304127
42424610,-74.008466,40.7206456
42424619,-74.007929,40.7237633
42424630,-74.0070994,40.7244054
42424641,-73.9768477,40.7146195
42424672,-73.9592658,40.7593001
42424679,-73.9594899,40.8202619
42424698,-73.9570228,40.8232976
42424701,-73.9601312,40.8197265
42424703,-73.9610583,40.8186803
42424706,-73.9618103,40.8180007
42424757,-73.9355669,40.8069238
42424758,-73.9349387,40.80669
42424789,-73.9948115,40.7576654
42424851,-73.9698495,40.784623
42424864,-74.0059302,40.7244132
42424937,-73.967223,40.8105617
42425088,-73.9610256,40.8176607
42425100,-73.977917,40.715649
42425127,-73.9529787,40.7917204
42425188,-73.9841323,40.7856025
42425232,-73.9641772,40.7923773
42425242,-73.9596517,40.8203291
42425348,-73.9760092,40.7954937
42425417,-73.9348645,40.8282864
42425425,-73.9344443,40.8158343
42425484,-73.9343888,40.814759
42425570,-73.9628541,40.7942085
42425681,-73.929126,40.7993152
42425747,-73.9312143,40.8034625
42425758,-73.93598,40.8310238
42425780,-73.930985,40.8668739
42425955,-74.0005026,40.7143955
42425959,-73.9318334,40.8692662
42426060,-74.0075216,40.7239092
42426089,-74.0074947,40.723454
42426135,-73.9323444,40.8039382
42426374,-73.952396,40.7982188
42426665,-73.9376003,40.8337341
42426747,-74.0128371,40.7024415
42426799,-73.9303673,40.8025637
42426805,-73.9367868,40.7923959
42426810,-73.9354669,40.834924
42426816,-73.9758271,40.747293
42426851,-73.9692725,40.74693
42426865,-73.974504,40.7374172
42426875,-73.9749044,40.7369776
42426957,-73.9348501,40.806301
42426968,-73.9342503,40.8179047
42426971,-73.9343644,40.8188825
42427009,-73.9367296,40.7904084
42427016,-73.9311538,40.847737
42427030,-73.9521462,40.7652696
42427036,-73.9510157,40.7665323
42427086,-73.9441039,40.8353715
42427112,-73.9445746,40.8363811
42427115,-73.9442977,40.8370771
42427122,-73.9440172,40.8377866
42427126,-73.9437512,40.8384634
42427128,-73.943465,40.839174
42427133,-73.9430682,40.8401941
42427136,-73.9422847,40.8421541
42427139,-73.9420178,40.8428216
42427143,-73.9416342,40.8434507
42427146,-73.9411456,40.8440509
42427150,-73.9408022,40.844695
42427152,-73.9405244,40.8453757
42427156,-73.9402488,40.8460446
42427159,-73.9400565,40.8465308
42427164,-73.9397798,40.8472122
42427168,-73.9395229,40.847842
42427185,-73.9386594,40.8499781
42427190,-73.938284,40.850909
42427196,-73.937819,40.852128
42427206,-73.937435,40.85338
42427212,-73.9369042,40.8551136
42427216,-73.935602,40.857109
42427236,-74.0058474,40.7116883
42427242,-74.0042431,40.7101781
42427249,-74.0064417,40.7070101
42427251,-74.0056937,40.7063813
42427254,-74.0052076,40.7060012
42427256,-74.0044743,40.705408
42427278,-74.0035657,40.7135883
42427300,-74.0021128,40.7151572
42427305,-74.0016876,40.7157533
42427307,-74.0008106,40.716929
42427311,-74.000274,40.717619
42427316,-73.9999522,40.7180192
42427319,-73.9994292,40.7186723
42427322,-73.999234,40.718913
42427324,-73.9985112,40.7198029
42427327,-73.9976561,40.7208344
42427335,-73.9842337,40.7152425
42427337,-73.9836386,40.7161377
42427340,-73.9833893,40.71669
42427345,-73.9831408,40.7171684
42427346,-73.9825206,40.7183141
42427352,-73.9819415,40.7194618
42427358,-73.9813453,40.7206496
42427369,-73.9909583,40.7396792
42427371,-73.9941671,40.7410305
42427374,-73.997007,40.742228
42427381,-73.9998513,40.7434264
42427386,-74.0027323,40.7446399
42427390,-74.005535,40.745816
42427393,-74.0078599,40.746795
42427411,-74.0166109,40.7081724
42427412,-74.017398,40.708457
42427423,-73.9923179,40.7435682
42427426,-73.9951595,40.744765
42427427,-73.998,40.7459612
42427477,-74.0008813,40.7471747
42427483,-74.003684,40.748355
42427494,-74.0082779,40.7502334
42427504,-73.9112343,40.8716544
42427507,-73.9126036,40.8722414
42427519,-73.9522263,40.8123183
42427523,-73.95177,40.81294
42427531,-73.951322,40.813567
42427538,-73.95086,40.814187
42427649,-73.9497399,40.8179231
42427735,-73.9485312,40.8214875
42427742,-73.9808938,40.714251
42427744,-73.9808346,40.7135531
42427750,-73.9806225,40.7115207
42427762,-73.9734832,40.7636536
42427764,-73.9741072,40.7639136
42427768,-73.927319,40.855598
42427769,-73.928716,40.856182
42427773,-73.9297266,40.8566083
42427780,-73.932043,40.857841
42427782,-73.932977,40.8581161
42427786,-73.986846,40.745301
42427787,-73.9886101,40.7460483
42427797,-73.9900676,40.7466658
42427805,-73.9929242,40.7478717
42427812,-73.9957298,40.7490537
42427821,-74.0014254,40.7514485
42427824,-74.0042757,40.7526474
42427828,-74.0070387,40.7537821
42427834,-73.9371434,40.8134253
42427844,-73.9300037,40.8621121
42427846,-73.9296676,40.8622107
42427849,-73.9286059,40.8626215
42427852,-73.927766,40.862926
42427855,-73.926923,40.863238
42427859,-73.9260124,40.8635745
42427863,-73.923767,40.864403
42427867,-73.921884,40.8651
42427870,-73.919996,40.865797
42427873,-73.918596,40.866315
42427877,-73.917205,40.866813
42427881,-73.9424535,40.8272063
42427883,-73.941997,40.827823
42427888,-73.94154,40.828447
42427891,-73.941078,40.829083
42427894,-73.9402064,40.8302773
42427915,-73.9717224,40.7820388
42427956,-74.0094849,40.7045596
42427965,-73.9588108,40.7599137
42427968,-73.9583585,40.7605391
42427970,-73.9579018,40.7611816
42427972,-73.9574532,40.7617963
42427975,-73.9569931,40.7624248
42427979,-73.9565342,40.7630517
42427985,-73.9560793,40.7636731
42427991,-73.9556211,40.7642988
42427996,-73.9551666,40.7649207
42428003,-73.9547105,40.7655447
42428005,-73.9542439,40.7661832
42428007,-73.9537482,40.7668593
42428010,-73.9532494,40.7675409
42428012,-73.9527922,40.7681722
42428013,-73.9523297,40.768811
42428014,-73.9518664,40.7694509
42428015,-73.951405,40.770088
42428016,-73.950941,40.7707171
42428020,-73.9504381,40.771399
42428022,-73.9499354,40.7720762
42428024,-73.9494733,40.7727093
42428027,-73.9490103,40.7733435
42428029,-73.9485489,40.7739755
42428032,-73.9480825,40.7746144
42428034,-73.9476222,40.775245
42428037,-73.9471206,40.775932
42428039,-73.9466326,40.7766022
42428043,-73.9461764,40.7772288
42428045,-73.9457066,40.777874
42428047,-73.9452597,40.7784878
42428049,-73.944779,40.779149
42428052,-73.9442883,40.7797423
42428061,-73.9759984,40.7812798
42428063,-73.9788209,40.7824641
42428065,-73.9805809,40.7832069
42428068,-73.9816706,40.7836663
42428072,-73.9832997,40.7843551
42428080,-73.9313827,40.8474237
42428082,-73.932849,40.848038
42428086,-73.934239,40.848626
